f	Vch2	sV	dT	sT
200	8.16	2	38	25
400	8.08	2	44	25
600	8	2	46.5	25
800	7.84	2	47.5	25
900	7.84	2	48.3	25
1000	7.68	1	48.2	2.5
1500	7.2	1	46.5	2.5
2000	6.72	1	44.4	2.5
2500	6.24	1	42	2.5
3000	5.76	1	39.7	2.5
3500	5.28	1	37.4	2.5
4000	5.04	1	35.3	2.5
4500	4.64	1	33.3	2.5
5000	4.32	1	31.5	2.5
5500	4.08	1	29.8	2.5
6000	3.84	1	28.3	2.5
6500	3.6	1	26.9	2.5
7000	3.36	1	25.6	2.5
7500	3.2	1	24.4	2.5
10000	2.56	1	19.76	1
20000	1.31	1	11.06	1
30000	0.896	0.2	7.64	1
40000	0.68	0.2	5.86	1
50000	0.552	0.2	4.72	1
60000	0.472	0.2	3.96	1
70000	0.408	0.2	3.44	1
80000	0.36	0.2	3	1
90000	0.336	0.2	2.68	1
100000	0.304	0.2	2.48	1
150000	0.204	0.05	1.64	1
200000	0.158	0.05	1.22	1
