f	Ach1	Ach2	Sch1	Sch2	dT	sT
100000	8.16	11	2	2	40	2.5
150000	7.84	19.2	2	5	80	2.5
160000	7.84	23.600	2	5	110	2.5
170000	7.68	30.6	2	5	150	2.5
180000	7.04	44	2	10	210	2.5
190000	5.12	69.2	2	10	510	2.5
200000	4.32	71.6	2	10	1850	2.5
210000	6.72	44	1	10	2150	1
220000	7.44	28.4	1	10	2140	1
230000	7.68	20.4	1	10	2080	1
240000	7.76	15.6	1	2	2000	1
250000	7.84	12.5	1	2	1930	1
300000	7.96	6	1	2	1630	1
350000	8	3.66	1	0.5	1400	0.5
400000	8	2.54	1	0.5	1230	0.25
195000	3.42	79.6	0.5	10	1100	2.5
196000	3.28	78.4	0.5	10	1290	2.5
197000	3.36	77.6	0.5	10	1470	2.5
198000	3.6	76	0.5	10	1630	2.5
199000	3.92	74	0.5	10	1770	2.5
201000	4.64	68.4	1	10	1940	2.5
202000	4.96	65.6	1	10	2000	2.5
203000	5.28	62.8	1	10	2040	2.5
204000	5.6	59.6	1	10	2080	2.5
205000	5.84	56.4	1	10	2100	2.5
206000	6.08	54	1	10	2120	2.5
207000	6.24	51.2	1	10	2130	2.5
208000	6.4	48.4	1	10	2140	2.5
209000	6.56	46	1	10	2150	0.5
210000	6.72	44	1	10	2150	0.5
194000	3.6	77.6	1	10	930	2.5
193000	3.84	76.4	1	10	785	2.5
192000	4.24	74.8	1	10	670	2.5
191000	4.64	72.4	1	10	575	2.5
190000	4.96	69.6	1	10	510	2.5
189000	5.36	66.8	1	10	440	2.5
188000	5.6	64	1	10	400	2.5
187000	5.92	61.2	1	10	360	2.5
186000	6.16	58	1	10	320	2.5
185000	6.4	55.6	1	10	300	2.5
