f	Ach1	Ach2	Sch1	Sch2	dT	sT
50000	8	0.0280	2	0.05	-5	5
100000	8	0.0664	2	0.05	-2.44	1
150000	7.84	0.172	2	0.05	-1.58	0.5
160000	7.84	0.220	2	0.05	-1.46	0.5
170000	7.68	0.304	2	0.05	-1.32	0.5
180000	7.2	0.456	2	0.1	-1.18	0.5
190000	5.6	0.756	2	0.1	-0.632	0.25
200000	3.84	0.912	2	0.1	0.44	0.25
210000	6.52	0.606	1	0.1	0.944	1
220000	7.36	0.408	1	0.1	1	1
230000	7.68	0.308	1	0.1	1	1
240000	7.76	0.244	1	0.1	0.972	1
250000	7.84	0.2	1	0.05	0.94	1
300000	8	0.114	1	0.05	0.81	1
350000	8	0.08	2	0.05	0.7	0.5
400000	8	0.064	2	0.05	0.64	0.5
195000	3.72	0.92	1	0.2	-0.39	2.5
196000	3.44	0.932	1	0.2	-0.23	2.5
197000	3.36	0.944	1	0.2	-0.03	2.5
198000	3.36	0.944	1	0.2	0.16	2.5
199000	3.56	0.928	1	0.2	0.34	2.5
201000	4.16	0.88	1	0.2	0.58	2.5
202000	4.56	0.852	1	0.2	0.68	2.5
203000	4.88	0.816	1	0.2	0.74	2.5
204000	5.2	0.784	1	0.2	0.81	2.5
205000	5.52	0.752	1	0.2	0.85	2.5
206000	5.76	0.72	1	0.2	0.86	2.5
207000	5.96	0.688	1	0.2	0.9	2.5
208000	6.2	0.656	1	0.2	0.9	2.5
209000	6.4	0.628	1	0.1	0.94	2.5
210000	6.56	0.604	1	0.1	0.95	2.5
194000	4.08	0.896	1	0.2	-0.54	2.5
193000	4.4	0.864	1	0.2	-0.65	2.5
192000	4.8	0.832	1	0.2	-0.76	2.5
191000	5.12	0.8	1	0.2	-0.81	2.5
190000	5.44	0.752	1	0.2	-0.87	2.5
189000	5.76	0.72	1	0.2	-0.95	2.5
188000	6	0.688	1	0.2	-0.97	2.5
187000	6.24	0.656	1	0.2	-1.02	2.5
186000	6.44	0.608	1	0.2	-1.04	2.5
185000	6.64	0.592	1	0.2	-1.09	2.5
